Last Name,First Name,Real Last,Real First,Alternate Names?,Nationality,Jewish?,Gender,Links for Further Info,Known for,Fields,Import (1=lowest 5=highest),Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Studied With,Studied With/At,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied At,Type,Language,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Third Location,Third Latitude,Third Longitude,Fourth Location,Fourth Latitude,Fourth Longitude,Fifth Location,Fifth Latitude,Fifth Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role
Adler,Stella,,,,American,y,f,https://en.wikipedia.org/wiki/Stella_Adler,"Yiddish actor, American actor, American acting teacher","Theater, Film, Acting, Theater Education",5,Harold Clurman,Wife,Sylvia Sidney,Sister-in-law,Celia Adler,Half-sister,Luther Adler,Sister,Luther Adler,Cousin,Jacob P. Adler,Daughter,Charles Adler,Half-sister,,,Richard Boleslavsky,Maria Ouspenskaya,Konstantin Stanislavsky,,,,,,American Laboratory Theatre,Theater School,English,New York,40.763609,-73.981435,,,,,,,,,,,,,Theatre Guild,Actor,English,New York,40.718289,-73.991127,,,,,,,,,,,,,Stella Adler Theater Studio,Founder,English,New York,40.718289,-73.991127,,,,Group Theater,Actor,English,New York,40.759288,73.989019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Buloff,Performed with,Maurice Schwartz,Performed with,Marlon Brando,Teacher,Cheryl Crawford,Performed with,Lee Strasberg,Performed with,Jacob Ben-Ami,Performed with,David Kessler,Performed with,Sigmund Mogulesko,Performed with,Bertha Kalich,Performed with,Keni Liptzin,Performed with,Morris Carnovsky,Performed with,Clifford Odets,Performed with,Elia Kazan,Performed with,Max Reinhardt,Performed with,Kurt Weill,Performed with,John Garfield,Performed with,Sanford Meisner,Performed with,Lee J. Cobb,Performed with,Erwin Piscator,Colleague,Robert De Niro,Teacher,Tony Curtis,Teacher,Walter Mathau,Teacher,Tennessee Williams,Teacher,Elaine Stritch,Teacher,Harry Belafonte,Teacher,Judith Malina,Teacher,Jack Garfein,Teacher,Bea Arthur,Teacher,Judy Garland,Teacher,Martin Sheen,Teacher,Warren Beatty,Teacher,Baruch Lumet,Performed with,Luba Kadison,Performed with,Yankev Mestel,Performed with,Boris Aronson,Performed with,Bertha Gersten,Performed with,Joseph Green,Performed with,Wolf Barzel,Performed with,Tyrone Guthrie,Performed with,Zigmund Mogulesco,Performed with,Irving Place Art Theater,Actor,Helen Zelinskaya,Performed with,Leonid Sniegov,Performed with,Lidia Pototska,Performed with,Reuven Vendorf,Performed with,Boris Auerbach,Performed with,Louis Weisberg,Performed with,J. Edward Bromberg,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adler,Julius,,,,American,y,m,https://en.wikipedia.org/wiki/Julius_Adler_(actor),"Yiddish actor, American actor","Theater, Film, Acting",3,Stella Adler,Cousin,Luther Adler,Cousin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second Avenue Theater,Actor,Yiddish,New York,40.718289,-73.991127,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon Liebgold,Performed with,Maurice Schwartz,Performed with,Luba Kadison,Performed with,Jacob Ben-Ami,Performed with,Bertha Gersten,Performed with,Avrom Taytlboym,Performed with,Yankev Mestel,Performed with,Bertha Gersten,Performed with,Chaim Shniur,Performed with,Luther Adler,Performed with,Baruch Lumet,Performed with,Paul Baratoff,Performed with,Helen Beverly,Performed with,Ida Garber,Performed with,Khavel Buzgan,Performed with,Boris Thomashefsky,Performed with,Aaron Lebedeff,Performed with,Molly Picon,Performed with,Jacob Kalich,Performed with,Jenny Goldstein,Performed with,Dina Koenig,Performed with,Ester Neroslavska,Performed with,Jerome Robbins,Performed with,Fela Biro,Performed with,Rose Shoshana,Performed with,Daniel Shapiro,Performed with,Leonid Sniegov,Performed with,Ester Orzevskaya,Performed with,Dovid Hamburger,Director,Helen Zelinskaya,Performed with,Charlotte Goldstein Chafran,Performed with,Reuven Vendorf,Performed with,Boris Thomshefsky,Performed with,Aaron Lebedeff,Performed with,Jenny Goldstein,Performed with,National Theater,Director,Maurice Schwartz,Performed with,Shloyme Krause,Director,Benjamin Fishbein,Performed with,Alex Chertov,Performed with,Sonia Alomis,Performed with,Nokhum Lipovski,Performed with,Yonas Turkow,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adler,Celia,,,Celia Feinman,American,y,f,https://en.wikipedia.org/wiki/Celia_Adler,"Yiddish actor, American actor","Theater, Film, Acting",3,Stella Adler,Half-sister,Luther Adler,Brother,Sylvia Sidney,Sister-in-law,Jacob P. Adler,Daughter,Charles Adler,Half-sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second Avenue Theater,Actor,Yiddish,New York,40.718289,-73.991127,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,Jewish Art Theater,Actor,Yiddish,New York,40.718289,-73.991127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luba Kadison,Performed with,Maurice Schwartz,Performed with,Zvi Scooler,Performed with,Luther Adler,Performed with,Paul Muni,Performed with,Sidney Lumet,Performed with,Marlon Brando,Performed with,Joseph Buloff,Performed with,Boris Aronson,Performed with,Avrom Taytlboym,Performed with,Paul Baratoff,Performed with,Baruch Lumet,Performed with,Bertha Gersten,Performed with,Mordecai Gorelik,Performed with,Joseph Green,Performed with,Jacob Ben-Ami,Performed with,Israel Kamay,Performed with,Dovid Denk,Performed with,Ester Neroslavska,Performed with,Annie Shapiro,Performed with,Chaim Shniur,Performed with,Mordechai Yachson,Performed with,Helen Zelinskaya,Performed with,Louis Weisberg,Performed with,Alex Chertov,Performed with,Mark Schweid,Performed with,Shmuel Iris,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adler,Jacob P.,,,Jacob Pavlovich Adler, American,y,m,https://en.wikipedia.org/wiki/Jacob_Pavlovich_Adler,Yiddish Actor,"Theater, Acting",5,Celia Adler,Father,Luther Adler,Father,Stella Adler,Father,Charles Adler,Father,Gustav Schacht,In-laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Edelstein,Director,Boris Thomashefsky,Director,Zigmund Mogulesco,Director,David Kessler,Director,Avrom Goldfaden,Performed with,Keni Liptzin,Performed with,Zigmund Mogulesco,Performed with,Boris Thomashefsky,Performed with,Arthur Hopkins,Performed with,Gustav Schacht,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adler,Charles,,,,American,y,m,"https://en.wikipedia.org/wiki/Charles_Adler_(actor,_born_1886)",Yiddish actor,"Theater, Acting",1,Gustav Schacht,Son-in-law,Jacob P. Adler,Son,Stella Adler,Half-brother,Luther Adler,Half-brother,Celia Adler,Half-brother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baruch Lumet,Performed with,Sidney Lumet,Performed with,Max Reinhardt,Performed with,Kurt Weill,Performed with,Norman Bel Geddes,Performed with,Benjamin Zemach,Performed with,Lotte Lenya,Performed with,Joseph Buloff,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adler ,Luther,,,Lutha Adler,American,y,m,https://en.wikipedia.org/wiki/Luther_Adler,American actor,"Theater, Film, Acting",3,Stella Adler,Brother,Harold Clurman,Brother-in-law,Sylvia Sidney,Husband,Celia Adler,Half-brother,Stella Adler,Cousin,Jacob P. Adler,Son,Charles Adler,Half-brother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group Theater,Actor,English,New York,40.759288,73.989019,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York,40.730929,-73.986157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Buloff,Performed with,Rita Hayworth,Performed with,Jacob Ben-Ami,Performed with,Guthrie McClintic,Performed with,Paul Muni,Director,Marlon Brando,Director,Sidney Lumet,Director,Celia Adler,Director,Maurice Schwartz,Performed with,Julius Adler,Performed with,Yankev Mestel,Performed with,Chaim Shniur,Performed with,Baruch Lumet,Performed with,Paul Baratoff,Performed with,Wolf Barzel,Director,Jerome Robbins,Performed with,Zvi Scooler,Performed with,Harold Clurman,Performed with,Boris Aronson,Performed with,Stella Adler,Performed with,Morris Carnovsky,Performed with,John Garfield,Performed with,Sandorf Meisner,Performed with,Clifford Odets,Performed with,Elia Kazan,Performed with,Martin Ritt,Performed with,Sidney Kingsley,Performed with,J. Edward Bromberg,Performed with,Sanford Meisner,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen,Woody,,,Allan Stewart Konigsberg,American,y,m,https://en.wikipedia.org/wiki/Woody_Allen,"American film actor, director, filmmaker, and playwright","Film, Acting, Directing, Playwriting, Screenwriting",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baruch Lumet,Director,Michael J. Fox,Director,Diane Keaton,Director,Martin Scorsese,Director,Alec Baldwin,Director,Lynn Redgrave,Director,Burt Reynolds,Director,Gene Wilder,Director,Martin Ritt,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altman,Nathan,,,Nathan Isaevich Altman,EE Jewish,y,m,https://en.wikipedia.org/wiki/Nathan_Altman,"Russian-Jewish painter, Yiddish and Hebrew theater designer","Art, Theater, Set Design",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOSET,Designer,Yiddish,Moscow,55.755826,37.617301,,,,,,,,,,,,,Habimah,Designer,Hebrew,Moscow,55.755826,37.617301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Granovsky,Designer,Solomon Mikhoels,Designer,Vsevolod Meyerhold,Designer,Jenny Epstein,Designer,Marc Chagall,Colleague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansky,Sh.,Rapoport,Shloyme Zaynvl,"S. Ansky, Sh. An-sky",EE Jewish,y,m,http://www.yivoencyclopedia.org/article.aspx/Rapoport_Shloyme_Zaynvl,"Yiddish author, Jewish ethnographer","Literature, Ethnography, Playwriting",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnshteyn,Mark,,,Andrzej Marek,EE Jewish,y,m,http://www.yivoencyclopedia.org/article.aspx/Arnshteyn_Mark,Yiddish and Polish playwright and director,"Theater, Directing",3,,,,,,,,,,,,,,,,,Stanisław Przybyszewski,,,,,,,,,,,,,,,,,,,,,,,,,,Ester-Rokhl Kaminska Troupe,Director,Yiddish,Odessa,46.482526,30.72331,Kiev,50.450101,30.523401,Minsk,53.900001,27.566667,Warsaw,52.229676,21.012229,,,,Yidisher Artistn Fareyn,Founder,Yiddish,Warsaw,52.229676,21.012229,,,,Hazomir,Director,Yiddish,Warsaw,52.229676,21.012229,Nowy Teatr Kameralny,"Founder, Director",Polish,Warsaw Ghetto,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,Mordechai Mazo,Co-Founder,Isaac Samberg,Co-Founder,Andrzej Pronaszko,Director,Szymon Syrkus,Director,Ester-Rokhl Kaminska,Director,A.Y. Kaminski,Director,Y.L. Peretz,Director,Avrom Taytlboym,"Director, teacher",Alex Stein,Director,Yoyel Bergman,Director,Moyshe Feder,"Teacher, Director",Helena Gotlib,Director,Ester Neroslavska,Director,Isaac Schlossberg,Director,Leyzer Zhelazo,Director,Misha Fishzon,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
