Film,Alt Titles,Language,Date,Country,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,VT Member,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,Misc
A brivele der mamen,,Yiddish,1939,US,Joseph Green,Director,Yitzkhok Grudberg,Actor,Alex Stein,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucy German,Actor,Bertha Gersten,Actor,Misha German,Actor,,,,,,,,,,,
A Dangerous Age,,English,1957,Canada,Yankev Reynglas,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidney J. Furie,Director,,,,,,,,,,,,,,,First feature-length film made in Canada
A Kiss In the Dark,,English,1949,US,Joseph Buloff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delmar Daves,Director,Maria Ouspenskaya,Actor,,,,,,,,,,,,,
A Vilna Legend,"Dem Rebns Koyekh, Tkies Khaf (reissue)",Yiddish,1933,US,Yankev Mestel,Actor/Screenwriter,Leyb Kadison,Actor,Joseph Buloff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A yidishe tokhter,A Daughter of Her People,Yiddish,1933,US,Joseph Green,Actor,Chaim Shniur,Actor,Yankev Mestel,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henrik Galeen,Director,Ernst Deutsch,Actor,,,,,,,,,,,,,
Al Khet,,Yiddish,1936,Poland,Avrom Morevsky,Actor,Rokhl Holtzer,Actor,Khavel Buzgan,Actor,Klara Segalovitch,Actor,Isaac Samberg,Actor,Gershon Lemberger,Actor,Henekh Kon,Composer,,,,,,,,,,,,,,,,,,,,,,,Dina Halpern,Actor,Shimon Dzigan,Actor,Yisroel Shumacher,Actor,Ruth Turkow,Actor,,,,,,,,,
Carnegie Hall,,English,1947,US,Joseph Buloff,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgar G. Ulmer,Director,Jascha Heifetz,Actor,,,,,,,,,,,,,
Comrade X,,English,1940,US,Alexander Azro,Actor,Yankev Blayfer,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clark Gable,Actor,Heddy Lamar,Actor,,,,,,,,,,,,,
Dangerously Yours,,English,1937,US,Leonid Sniegov,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Romero,Actor,,,,,,,,,,,,,,,
Das alte Gesetz,,German,1923,Germany,Avrom Morevsky,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ewald André Dupont,Director,Ernst Deutsch,Actor,,,,,,,,,,,,,
