Theater Company / School / Artistic Organization,Alt names,Link to more info,Language,Type of Organization,Year Founded,Year Ended,Location,Location,Location,Location,Location,Location,Location,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Leadership,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,VT Member,Pre or Post?,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,2nd/3rd degree conn,Role,Inspired,Inspired,Inspired,Inspired,Inspired,Inspired,Inspired,
A kamer teater,,none,Yiddish,Amateur,1918,1919,St. Petersburg,,,,,,,Mendl Elkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Granovsky,Founder,A. Vayter,Founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Fine Arts in Warsaw,Akademia Sztuk Pięknych w Warszawie,http://culture.pl/en/place/academy-of-fine-arts-in-warsaw,Polish,School,1812,Present,Warsaw,,,,,,,,,,,,,,,Henryk Berlewi,Pre,Maks Haneman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahata Amateur Theater Club,,,Yiddish,Amateur,,,Warsaw,,,,,,,Baruch Lumet,Pre,,,,,,,Yankev Shidlo,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akademia Teatralna im. Aleksandra Zelwerowicza ,"National School of Drama, Państwowej Wyższej Szkoły Teatralnej",http://culture.pl/pl/miejsce/akademia-teatralna-im-aleksandra-zelwerowicza-w-warszawie,Polish,School,1946,Present,Warsaw,Lodz,,,,,,Andrzej Pronaszko,Post,,,,,,,Reuven Rubin,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akord,,None,Yiddish,Professional,1937,1938,EE Touring,,,,,,,Yankev Mandlblit,Post,Simkhe Vaynshtok,Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexei Suvorin Dramatic School,,https://books.google.com/books?id=z29_AgAAQBAJ&pg=PA204&lpg=PA204&dq=Alexei+Suvorin+Dramatic+School&source=bl&ots=D9TMKC59eU&sig=YyyFGx3pK04t7KFah-0xz5wv3qY&hl=en&sa=X&ved=0CCcQ6AEwAmoVChMInNC8s5bqxgIVCjaSCh1YGQDC#v=onepage&q=Alexei%20Suvorin%20Dramatic%20School&f=false,Russian,School,,,St. Petersburg,,,,,,,,,,,,,,,Avrom Morevsky,Pre,Lidia Pototska,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Ailey Dance Company,,http://www.alvinailey.org,English,Professional Dance,,,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ze'eva Cohen,Dancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Laboratory Theater,"ALT, Theatre Arts Institute",https://en.wikipedia.org/wiki/American_Laboratory_Theatre,English,"Professional, School",1923,,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Boleslavsky,Founder,Maria Ouspenskaya ,Founder,Lee Strasberg,"Performer, Student",Harold Clurman,"Performer, Student",Stella Adler,"Performer, Student",John Garfield,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Sokolow Dance Company,,http://jwa.org/encyclopedia/article/sokolow-anna,English,Professional Dance,,,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ze'eva Cohen,Dancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ararat,Artistisher Revolutsyonerer Revi-Teatr,http://www.yivoencyclopedia.org/article.aspx/Kleynkunst,Yiddish ,Cabaret,,,Lodz,,,,,,,Moyshe Broderzon,Pre,,,,,,,Henekh Kon,Post,Klara Segalovitch,Post,Yankev Reynglas,Pre,Yoyel Bergman,Post,Moyshe Potashinski,Post,Henryk Berlewi,Pre,Yitzkhok Broyner,Pre,Nadia Kareni,Pre,Pepi Urich,Pre,Simkhe Vaynshtok,Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yisroel Shumacher,Actor,Shmuel Dzhigan,Actor,Judith Berg,Choreographer,Zisl Gorlitska-Reynglas,Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
