Last Name,First Name,Full Name,Gender,Real Last,Real First,Alternate Names?,Branch,Branch1,Branch2,Branch3,Branch4,Branch5,Branch6,Branch7,Approx Dates in VT,VT Locations,Type of VT Connection,Connection Type Code,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Related to,Relationship,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied With,Studied At,Type,Language,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Studied At,Type,Language ,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Third Location,Third Latitude,Third Longitude,Fourth Location,Fourth Latitude,Fourth Longitude,Fifth Location,Fifth Latitude,Fifth Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Second Location,Second Latitude,Second Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked At,Role,Language,Location,Latitude,Longitude,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role,Worked with,Role
Alomis,Sonia,Sonia Alomis,f,Lubotski,,,"O, AA, Belgium, AmRev3",O,AA,Belgium,AmRev3,,,,"1915-1930, 1936","EE, WE, US",Actor,A,Jacob Lubotsky,Sister,Alexander Azro,Wife,Olya Libert-Lubotsky,Sister-in-law,,,,,,,,,,,,,,,Jacob Ben-Ami,Peretz Hirschbein,,,,,,Vilna Yiddish drama club,Amateur club,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julius Adler,Performed with,Jacob Ben-Ami,Performed with,Peretz Hirschbein,Performed with,Alexander Azro,Performed with,Sophie Tucker,"Roomed with, tour",Henryk Galeen,Mentee,Arnold Zweig,Mentee,Herman Struck,Mentee,Boris Thomashefsky,Performed with,Slava Estrin,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpert,M.,M. Alpert,m,,,,MVT,MVT,,,,,,,1932,EE,Composer,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altboym,Sonia,Sonia Altboym,f,Staradova,,"Staroduv, Sonia Altbaum","MVT, Stein",MVT,Stein,,,,,,1927-1932,"Berlin, Poland, Romania, Lithuania, Latvia, Vienna",Actor,A,Adam Domb,Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VYKT,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,Russian Troupe in Mogilev,Actor,Russian,"Mogilev, Belarus",53.900001,30.333333,,,,Minsker Shtot Teater,Actor,Yiddish,Minsk,53.900001,27.566667,Vilna Dramatic Ensemble,Actor,Yiddish,Vilna,54.687156,25.279651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zygmunt Turkow,Performed with,Yonas Turkow,Performed with,Ester-Rokhl Kaminska,Performed with ,Ida Kaminska,Performed with,Władysław Godik,Performed with,Diana Blumenfeld,Performed with,Henryk Galeen,Mentee,Arnold Zweig,Mentee,Hermann Struck,Mentee,Moyshe Lipman,Performed with,Ruth Turkow,Performed with,Adam Domb,Performed with,Israel Kamay,Performed with,Yoyel Bergman,Performed with,Meir Melman,Performed with,Alex Stein,Performed with,Adam Domb,Performed with,Klara Segalovitch,Performed with,Henrik Tarlo,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alter,Millie,Millie Alter,f,,,,MVT,MVT,,,,,,,1933,London,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azro,Alexander,Alexander Azro,m,Orliuk,,,"O, AA, Belgium, AmRev3",O,AA,Belgium,AmRev3,,,,"1915-1930, 1936","EE, WE, US, Belgium, Holland, Germany, France, England, United States, Canada",Actor,A,Sonia Alomis,Husband,Jacob Lubotsky,Brother-in-law,Olya Libert-Lubotsky,Sister-in-law,,,,,,,,,,,,,,,Peretz Hirschbein,Jacob Ben-Ami,,,,,,Vilna Yiddish drama club,Amateur club,Yiddish,Vilna,54.687156,25.279651,Kiev Drawing School,Art school,Russian,Kiev,50.4501,30.5234,,,,,,,Solovtsov Teater,Actor,Russian,Kiev,50.45011,30.52341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sammy Gronneman,Mentee,Arnold Zweig,Mentee,Hermann Struck,Mentee,Henrik Galeen,Mentee,John Gotov,Mentee,Jacob Ben-Ami,Performed with,Peretz Hirschbein,Performed with,William A. Seiter,Performed with,Groucho Marx,Performed with,Harpo Marx,Performed with,Chico Marx,Performed with,Lucille Ball,Performed with,Clark Gable,Performed with,Hedy Lamarr,Performed with,Yankev Blayfer,Performed with,Jack Lemmon,Performed with,Mary Martin,Performed with,Sophie Tucker,Performed with,Gene Kelly,Performed with,Boris Thomashefsky,Performed with,Slava Estrin,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardach,, Bardach,m,,,,MVT,MVT,,,,,,,1927,EE,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barzel,Wolf,Wolf Barzel,m,,,"Wolfie Barzel (family and friends), Wolf Azenberg, Wolfe Barzell, Wolf Barzell","Bronx, AmRev2",Bronx,AmRev2,,,,,,"1929-1930, 1932-1933",US,Actor,A,Manny Azenberg,Uncle,Judy Graubart,Uncle,,,,,,,,,,,,,,,,,Mendl Elkin,,,,,,,Yiddish Theater Society,Theater school,Yiddish,New York,40.715033,-73.984272,Max Reinhardt Seminar,Theater school,German,Vienna,48.189588,16.312573,,,,,,,Theatre Guild,Actor,English,New York,40.73251,-73.998692,,,,,,,,,,,,,,,,,,,,,,Unzer Teater,Actor,Yiddish,"Bronx, New York",40.844782,-73.864827,"Yiddish Theater Unit, Federal Theater Project","Supervisor, Performed with",Yiddish,New York,40.759288,73.989019,Ensemble Art Theater,Actor,Yiddish,New York,40.718289,-73.991127,Second Avenue Theater,Manager,Yiddish,New York,40.730953,-73.985976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Green,Performed with,Natalie Wood,Performed with,John Garfield,Performed with,Sanford Meisner,Performed with,Rita Moreno,Performed with,Ethel Barrymore,Performed with,Stella Adler,Performed with,Tyrone Guthrie,Performed with,Lee Strasberg,Performed with,Boris Aronson,Performed with,Rudolph Schildkraut,Performed with,Zvi Scooler,Performed with,Dina Halpern,Performed with,Zero Mostel,Performed with,Mendl Elkin,Performed with,Chaim Shniur,Performed with,Mordechai Yachson,Performed with,Luther Adler,Performed with,Jacob Bergrin,Performed with,Yankev Blayfer,Performed with,Leonid Sniegov,Performed with,Alexander Granovsky,Performed with,Egon Brecher,Performed with,Yankev Mestel,Performed with,Frida Vitalin,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer,J.,J. Beer,m,,,,Stein,Stein,,,,,,,193?-193?,Berlin,Accompanist,Mus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarina,Bela,Bela Belarina,f,Rubinlicht,,,"MVT, AA, AmRev3",MVT,AA,AmRev3,,,,,"1918-1925, 1936","EE, WE, US",Actor,A,Chaim Shniur,Wife,Ester Gamerov,Sister-in-law,Rivke Kasman,Sister-in-law,,,,,,,,,,,,,,,Y.L. Peretz,,,,,,,Warsaw Academy of Drama,Theater school,Polish,Warsaw,52.229676,21.012229,Hazomir,Amateur club,Yiddish,Warsaw,52.229676,21.012229,,,,,,,Unzer Teater,Actor,Yiddish,"Bronx, New York",40.844782,-73.864827,,,,,,,,,,,,,Yiddish Art Theater,Actor,Yiddish,New York ,40.730929,-73.986157,,,,Artistishe vinkele,Actor,Yiddish,Warsaw,52.229676,21.012229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaim Shniur,Performed with,Egon Brecher,Performed with,Mendl Elkin,Performed with,Joseph Green ,Performed with,Yankev Blayfer,Performed with,Dovid Pinski,Performed with,Peretz Hirschbein,Performed with,H. Leivick,Performed with,Boris Aronson,Designer,David Vardi,Performed with,Maurice Schwartz,Performed with,Dovid Herman,Performed with,Hersh Poznanski,Performed with,Jacob Bergrin,Performed with,Zygmunt Turkow,Performed with,Yonas Turkow,Performed with,Paul Baratoff,Performed with,Avrom Taytlboym,Performed with,Frida Vitalin,Performed with,Y.L. Peretz,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell,Adolf,Adolf Bell,m,Bielotserkovtki,Avrom,"Abraham Bell, Adolph Bellmann, Avrom Belocerkofsky",Stein,Stein,,,,,,,193?,Vienna,Actor,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freie Jüdische Volksbühne,Actor,Yiddish,Vienna,48.189588,16.312573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Molly Picon,Performed with,Egon Brecher,Performed with,Yankev Mestel,Performed with,Simkhe Natan,Performed with,Naomi Natan,Performed with,Lea Weintraub-Graf,Performed with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
