Troupe Name,Abbreviation,Years Active,Leadership,Leadership,Leadership,Region(s),Regional Abbreviations
Original Vilna Troupe,O,1916-1918,Mordechai Mazo,Leyb Kadison,Alexander Azro,Eastern Europe,EE
Mazo Vilna Troupe,MVT,1918-1935,Mordechai Mazo,,,"Eastern Europe, Western Europe","EE, WE"
Azro/Alomis Vilna Troupe,AA,1918-1926,Alexander Azro,Sonia Alomis,,"Eastern Europe, Western Europe, US","EE, WE, US"
American revival branch,AmRev,1926-1927,Leyb Kadison,,,New York,New York
Belgium Vilna Troupe,Belgium,1929-1930,Alexander Azro,Sonia Alomis,,Belgium,Belgium
Bronx Vilna Troupe,Bronx,1928-1930,Joseph Buloff,Luba Kadison,,United States,US
Stein Vilna Troupe,Stein,1930-1933,Alex Stein,,,"Germany, Vienna, Prague, Western Europe",WE
American Revival #2,AmRev2,1932-1933,Joseph Buloff,,,United States,US
"Waislitz, Buzgan, Shapiro Vilna Troupe",WBS,1926-1927,Jacob Waislitz,Khavel Buzgan,Daniel Shapiro,"Lemberg, US","EE, US"
American Revival #3,AmRev3,1936,Dovid Herman,,,New York,New York
